"Channel ID","Channel Label","Well ID","Well Label","Compound ID","Compound Name","Experiment","Dose [pM]","Dose Label","Spike Count","Spike Rate [Hz]","Burst Count","Mean Burst Duration [µs]","Mean Burst Spike Count","Mean Burst Spike Rate [Hz]","Percentage Spikes in Burst","Mean Interburst Interval [µs]","Active Channel","Network Burst Count","Mean Network Burst Duration [µs]","Mean Network Burst Spike Count","Mean Network Burst Spike Rate [Hz]","Percentage Spikes in Network Burst","Mean Network Interburst Interval [µs]"
"202","21","15","C4","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","0","Control",735,12.25,6,541875,114.333,188.459,93.333,7647961.111,True,5,901400,1610.2,149.348,94.975,8397950
"202","21","15","C4","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Drug 2",3719,12.397,29,591048.276,122.759,190.554,95.725,9775125.962,True,25,880784,1634.04,154.964,93.652,10417627.083
"202","21","15","C4","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Convulsant",13914,46.38,117,523526.068,117.248,217.588,98.591,2056396.552,True,111,634604.054,1377.946,182.054,98.593,2085057.727
"193","31","15","C4","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","0","Control",704,11.733,7,473142.857,96.714,170.689,96.165,6885290,True,5,901400,1610.2,149.348,94.975,8397950
"193","31","15","C4","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Drug 2",3676,12.253,30,578045,117.167,183.855,95.62,9404397.222,True,25,880784,1634.04,154.964,93.652,10417627.083
"193","31","15","C4","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Convulsant",13309,44.363,114,530016.228,114.649,212.571,98.204,2118310.177,False,111,634604.054,1377.946,182.054,98.593,2085057.727
"200","12","15","C4","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","0","Control",636,10.6,5,598360,118.8,197.957,93.396,8702656.25,True,5,901400,1610.2,149.348,94.975,8397950
"200","12","15","C4","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Drug 2",3294,10.98,28,540576.786,106.464,187.45,90.498,10050774.51,False,25,880784,1634.04,154.964,93.652,10417627.083
"200","12","15","C4","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Convulsant",11646,38.82,118,475296.61,96.331,195.645,97.604,2082888.889,False,111,634604.054,1377.946,182.054,98.593,2085057.727
"203","22","15","C4","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","0","Control",945,15.75,5,786380,172.4,218.582,91.217,8556031.25,True,5,901400,1610.2,149.348,94.975,8397950
"203","22","15","C4","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Drug 2",5047,16.823,29,693646.552,153.69,204.135,88.31,9490110.377,True,25,880784,1634.04,154.964,93.652,10417627.083
"203","22","15","C4","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Convulsant",16750,55.833,114,597433.772,144.307,237.335,98.215,2050358.85,True,111,634604.054,1377.946,182.054,98.593,2085057.727
"192","32","15","C4","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","0","Control",1004,16.733,5,870170,174,199.953,86.653,8397787.5,True,5,901400,1610.2,149.348,94.975,8397950
"192","32","15","C4","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Drug 2",5230,17.433,30,719311.667,147.9,184.864,84.837,9262778.704,True,25,880784,1634.04,154.964,93.652,10417627.083
"192","32","15","C4","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Convulsant",15835,52.783,113,594881.416,135.027,224.313,96.356,2076529.018,True,111,634604.054,1377.946,182.054,98.593,2085057.727
"195","42","15","C4","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","0","Control",808,13.467,6,660600,128.667,177.817,95.545,7501744.444,True,5,901400,1610.2,149.348,94.975,8397950
"195","42","15","C4","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Drug 2",4115,13.717,28,682857.143,139.25,189.515,94.751,9656446.154,True,25,880784,1634.04,154.964,93.652,10417627.083
"195","42","15","C4","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Convulsant",14954,49.847,113,558791.15,130.221,230.734,98.402,2112845.089,True,111,634604.054,1377.946,182.054,98.593,2085057.727
"201","13","15","C4","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","0","Control",465,7.75,6,382525,71.333,169.414,92.043,7064645,False,5,901400,1610.2,149.348,94.975,8397950
"201","13","15","C4","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Drug 2",2348,7.827,31,419540.323,70.742,155.64,93.399,8750231.356,False,25,880784,1634.04,154.964,93.652,10417627.083
"201","13","15","C4","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Convulsant",7471,24.903,112,409408.929,63.679,153.294,95.462,2287609.009,False,111,634604.054,1377.946,182.054,98.593,2085057.727
"198","23","15","C4","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","0","Control",630,10.5,5,544010,114.2,209.13,90.635,8732131.25,True,5,901400,1610.2,149.348,94.975,8397950
"198","23","15","C4","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Drug 2",3158,10.527,30,498701.667,94.633,173.929,89.899,9322578.182,True,25,880784,1634.04,154.964,93.652,10417627.083
"198","23","15","C4","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Convulsant",12164,40.547,116,488978.017,101.198,201.51,96.506,2113694.783,False,111,634604.054,1377.946,182.054,98.593,2085057.727
"197","33","15","C4","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","0","Control",653,10.883,5,575620,123.6,213.478,94.64,8701193.75,True,5,901400,1610.2,149.348,94.975,8397950
"197","33","15","C4","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Drug 2",3360,11.2,28,588817.857,115.464,188.994,96.22,10011444.118,True,25,880784,1634.04,154.964,93.652,10417627.083
"197","33","15","C4","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Convulsant",11836,39.453,119,469959.244,97.748,200.192,98.276,2066572.034,False,111,634604.054,1377.946,182.054,98.593,2085057.727
"194","43","15","C4","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","0","Control",677,11.283,5,568230,124.4,218.059,91.876,8691600,True,5,901400,1610.2,149.348,94.975,8397950
"194","43","15","C4","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Drug 2",3652,12.173,27,640538.889,125.148,188.481,92.525,9970550,True,25,880784,1634.04,154.964,93.652,10417627.083
"194","43","15","C4","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Convulsant",13958,46.527,117,524252.991,116.88,216.675,97.972,2055537.069,True,111,634604.054,1377.946,182.054,98.593,2085057.727
"199","24","15","C4","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","0","Control",545,9.083,5,495430,92,185.277,84.404,4987603.571,False,5,901400,1610.2,149.348,94.975,8397950
"199","24","15","C4","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Drug 2",2550,8.5,29,423815.517,75.931,168.857,86.353,8198445.238,False,25,880784,1634.04,154.964,93.652,10417627.083
"199","24","15","C4","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Convulsant",10122,33.74,113,450942.035,86.239,187.968,96.275,2221625.446,False,111,634604.054,1377.946,182.054,98.593,2085057.727
"196","34","15","C4","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","0","Control",675,11.25,6,535408.333,103.5,173.52,92,6963045,True,5,901400,1610.2,149.348,94.975,8397950
"196","34","15","C4","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Drug 2",3471,11.57,29,556293.103,109.414,183.948,91.415,9636869.811,True,25,880784,1634.04,154.964,93.652,10417627.083
"196","34","15","C4","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Convulsant",13175,43.917,121,498395.041,105.198,201.477,96.615,1995602.083,True,111,634604.054,1377.946,182.054,98.593,2085057.727
"178","21","16","C5","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","0","Control",735,12.25,4,790200,142,179.48,77.279,12613291.667,True,4,956662.5,1345.25,117.519,90.696,12466783.333
"178","21","16","C5","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Drug 2",3928,13.093,33,550242.424,95.455,150.29,80.193,10036083.333,True,23,998219.565,1334.478,111.874,91.335,12136647.727
"178","21","16","C5","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Convulsant",15425,51.417,161,437606.522,94.099,210.572,98.217,1433342.188,True,158,496354.114,823.082,137.754,97.57,1410097.134
"169","31","16","C5","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","0","Control",527,8.783,4,752587.5,119.75,157.77,90.892,12659158.333,True,4,956662.5,1345.25,117.519,90.696,12466783.333
"169","31","16","C5","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Drug 2",2971,9.903,29,578153.448,94,145.888,91.754,10895856,True,23,998219.565,1334.478,111.874,91.335,12136647.727
"169","31","16","C5","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Convulsant",13117,43.723,164,411739.329,76.585,179.948,95.754,1425026.994,False,158,496354.114,823.082,137.754,97.57,1410097.134
"176","12","16","C5","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","0","Control",783,13.05,4,869750,163.25,186.527,83.397,12557716.667,True,4,956662.5,1345.25,117.519,90.696,12466783.333
"176","12","16","C5","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Drug 2",4506,15.02,30,692351.667,124.3,157.161,82.756,10350766.346,True,23,998219.565,1334.478,111.874,91.335,12136647.727
"176","12","16","C5","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Convulsant",15824,52.747,161,453646.894,96.373,208.247,98.054,1417173.125,True,158,496354.114,823.082,137.754,97.57,1410097.134
"179","22","16","C5","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","0","Control",327,5.45,5,407770,59.4,129.345,90.826,11114078.571,False,4,956662.5,1345.25,117.519,90.696,12466783.333
"179","22","16","C5","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Drug 2",1870,6.233,39,286434.615,42.821,137.285,89.305,8319230.597,False,23,998219.565,1334.478,111.874,91.335,12136647.727
"179","22","16","C5","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Convulsant",8923,29.743,159,357303.459,53.981,148.719,96.19,1537856.646,False,158,496354.114,823.082,137.754,97.57,1410097.134
"168","32","16","C5","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","0","Control",316,5.267,8,253700,33.125,102.854,83.861,7024068.182,False,4,956662.5,1345.25,117.519,90.696,12466783.333
"168","32","16","C5","0.01 %DMSO","","0.01__DMSO_3659_A17_Drug_2_190321","","Drug 2",1949,6.497,48,271561.458,34.979,110.208,86.147,7108834.416,False,23,998219.565,1334.478,111.874,91.335,12136647.727
